STATE,UP,DOWN,RIGHT,LEFT,PICK_OBJECT,OPEN_DOOR
"(1, 1, 0, 0, 0)",-0.05243569967514939,-0.015826584460642827,-0.016477778275544076,-0.08420649940349843,-0.06633649522735405,-2.0650782453516294
"(1, 1, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1, 1, 0, 0)",-0.06801174698292613,-0.01509891724618782,-0.01940240307315418,-0.04884389916556223,-0.06501558651761095,-1.5679080212283423
"(1, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1, 1, 1, 0)",-0.10744786769301556,-0.029891451506021606,-0.02847484423577265,-0.09666813464308233,-0.098430038494372,-2.857110040103212
"(1, 1, 1, 1, 1)",-0.10401450553769417,-0.030858800115560366,-0.02653674354343285,-0.10404468149127201,-0.09212153913605417,-2.653595839758313
"(1, 2, 0, 0, 0)",-0.06260690662061265,0.0037782859145940734,0.031861989015008446,-0.02355675132224769,-0.04906345743669257,-2.1493991816701383
"(1, 2, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2, 1, 0, 0)",-0.08869906351599902,-0.017839883082599893,-0.020098535573484608,-0.01691613623194743,-0.08061387017212723,-1.9601752906187793
"(1, 2, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2, 1, 1, 0)",-0.10140806160292642,-0.01987772979628455,-0.022791416921266336,-0.028674882240011343,-0.08611690453283666,-2.5592433080634693
"(1, 2, 1, 1, 1)",-0.10274865372782332,-0.02168247346603014,-0.0265045818882693,-0.02793228930658577,-0.09224335225539668,-2.6489678966143426
"(1, 3, 0, 0, 0)",-0.013857408267750003,0.16660528594378937,0.10673326046443866,-0.007494319872929248,-0.0062806752408582555,-1.894603478585899
"(1, 3, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3, 1, 0, 0)",-0.07895287723670827,-0.007095298156922275,-0.006558861601193675,-0.02375673245789231,-0.05505925618100001,-2.554487574302881
"(1, 3, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3, 1, 1, 0)",-0.08848733603939601,-0.009356218945846293,-0.006800302998695221,-0.025292627965017408,-0.09606355484013265,-2.1590995463280827
"(1, 3, 1, 1, 1)",-0.09770681484928698,-0.02301209324672201,-0.028955444923280508,-0.02315371985601543,-0.09710651812878768,-2.395239754745113
"(1, 4, 0, 0, 0)",0.03229589937893864,0.537201875303107,0.01344847665000001,0.011153912133095006,0.002341303500000001,-1.0058998715000003
"(1, 4, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4, 1, 0, 0)",-0.028790269532368153,0.11150989654547377,-0.02602042638942354,-0.014476890346162688,-0.03967210560198342,-1.5536288288164783
"(1, 4, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4, 1, 1, 0)",-0.074934176669794,0.0606172117815897,-0.06172424472062271,-0.022164059954673063,-0.05880385809517323,-2.290370805527512
"(1, 4, 1, 1, 1)",-0.09624509758534879,-0.019390635709164494,-0.09828033736390851,-0.029211227029656412,-0.09892199161989947,-2.5113706974632812
"(1, 6, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 1, 1, 1)",0.0,0.011456999999999998,1.5,0.0,-0.016932011500000003,-0.5689115850000002
"(1, 7, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 1, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 1, 1, 1)",0.3590749999999999,0.024626250000000002,0.03573899999999999,2.85,0.24364999999999995,-0.4268250000000001
"(1, 9, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 1, 1)",0.0020391749999999938,0.0016922026250000006,0.01737600749999999,0.26885,-0.008849250000000006,-0.9854712425000001
